username,hsp,wrp,wins,losses,matches,kd,kills,deaths,kpm,cheater
AS1XN,0.511,0.504,3682,3560,7303,1.14,34445,30323,4.72,false
Dong__Quixote,0.325,0.42099997,112,144,266,0.49,590,1204,2.22,false
CalculatedJM22,0.515,0.532,125,108,235,0.6,574,952,2.44,false
DG_mason,0.53,0.48900002,952,932,1949,1.01,10261,10151,5.26,false
xyrillz-,0.499,0.41099998,330,215,802,1.25,2567,2047,3.2,false
los2z9,0.498,0.443,202,51,456,0.82,347,423,0.76,false
QyartFrostApeh,0.536,0.511,774,729,1514,1.2,7866,6536,5.2,false
XxDIRTDEMONSxX,0.47,0.52,76,70,146,0.94,547,585,3.75,false
ebirk.,0.482,0.508,522,496,1027,1.04,4533,4340,4.41,false
Percieval,0.474,0.455,828,672,1821,1.19,6573,5515,3.61,false
bayag122,0.543,0.48900002,382,359,782,0.96,3511,3651,4.49,false
Yoskoi,0.444,0.499,433,367,867,0.95,2845,2991,3.28,false
albus005.v2,0.482,0.525,1372,1227,2611,1.16,13335,11544,5.11,false
Shmoofa,0.56299996,0.547,2039,1678,3727,1.28,17836,13956,4.79,false
Conquest__,0.443,0.50200003,467,461,931,0.8,3530,4414,3.79,false
peturgrifn,0.488,0.524,581,519,1109,0.82,4059,4972,3.66,false
Zephels,0.425,0.53,1120,991,2114,1.0,7059,7039,3.34,false
spotifyonmax,0.618,0.462,949,666,2056,1.5,10576,7040,5.14,false
Acemako.,0.506,0.48099998,372,390,773,1.01,3221,3174,4.17,false
Vijil_,0.661,0.488,549,483,1125,1.04,4977,4784,4.42,false
Mumin._.,0.413,0.535,619,521,1158,1.1,5652,5130,4.88,false
BANDEM1C,0.59099996,0.519,1700,1561,3276,1.03,14947,14501,4.56,false
CrownThyTafy,0.508,0.53400004,183,148,343,1.11,1569,1409,4.57,false
BaulZDragon,0.346,0.54,379,317,702,1.16,3059,2628,4.36,false
Lord_ThicChanka,0.405,0.496,1091,965,2199,1.09,10138,9335,4.61,false
Maniacal.,0.501,0.59099996,909,617,1538,1.56,7144,4572,4.64,false
suyung420,0.624,0.44599998,222,205,498,1.37,2456,1798,4.93,false
Nom.Nom..,0.45900002,0.485,1607,1567,3312,1.04,15282,14703,4.61,false
Ftxl.,0.561,0.547,906,681,1657,1.43,10303,7230,6.22,false
Flxqr.,0.42900002,0.595,1054,678,1772,1.84,12982,7073,7.33,false
justinfz.,0.43,0.504,489,466,971,0.77,3263,4223,3.36,false
jam2fly,0.46,0.491,405,375,824,0.91,3360,3691,4.08,false
R3CRU1T.MAIN,0.41,0.545,158,130,290,1.35,1337,991,4.61,false
white.bingus,0.624,0.491,656,590,1336,1.21,7275,6021,5.45,false
polo1.,0.518,0.506,1125,957,2221,1.19,9604,8047,4.32,false
Primenicco.,0.48099998,0.5,995,907,1992,1.23,9810,8005,4.92,false
rusedpotato,0.537,0.45,1445,1400,3213,0.87,10771,12339,3.35,false
slam.errr,0.41799998,0.503,159,147,316,1.19,1806,1517,5.72,false
Marcusm1234,0.51,0.511,390,355,763,1.08,3882,3584,5.09,false
Psychicisaac,0.36200002,0.414,566,371,1368,1.27,3865,3036,2.83,false
Lupi..,0.506,0.541,529,443,978,1.45,4969,3428,5.08,false
Wavhey.,0.495,0.50200003,772,674,1537,1.09,6332,5822,4.12,false
Yes-_-King,0.622,0.5,731,695,1463,1.02,7024,6911,4.8,false
D4000,0.39400002,0.503,1275,1193,2535,1.0,11450,11428,4.52,false
PineapplePupper,0.535,0.546,363,295,665,0.99,2704,2729,4.07,false
